City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,lebu,CL,-37.6167,-73.65,51.66,83,3,7.54,clear sky
1,qaanaaq,GL,77.484,-69.3632,-3.03,84,100,5.79,overcast clouds
2,souillac,MU,-20.5167,57.5167,75.58,94,75,1.14,broken clouds
3,hermanus,ZA,-34.4187,19.2345,62.51,87,100,2.28,overcast clouds
4,bluff,NZ,-46.6,168.3333,59.81,93,91,15.82,overcast clouds
5,barrow,US,71.2906,-156.7887,6.82,78,0,13.8,clear sky
6,pisco,PE,-13.7,-76.2167,69.85,73,0,21.85,clear sky
7,yellowknife,CA,62.456,-114.3525,32.56,40,20,10.36,few clouds
8,havoysund,NO,70.9963,24.6622,39.43,89,33,11.7,scattered clouds
9,ternate,ID,0.8,127.4,81.3,78,100,1.54,overcast clouds
10,albany,US,42.6001,-73.9662,49.17,50,9,1.01,clear sky
11,huarmey,PE,-10.0681,-78.1522,69.62,80,31,10.29,scattered clouds
12,saint george,US,37.1041,-113.5841,81.79,16,0,8.01,clear sky
13,ushuaia,AR,-54.8,-68.3,46.06,71,75,14.97,broken clouds
14,jamestown,US,42.097,-79.2353,51.53,31,0,3.44,clear sky
15,saint-philippe,RE,-21.3585,55.7679,76.59,85,77,4.05,broken clouds
16,beringovskiy,RU,63.05,179.3167,29.03,89,98,1.72,overcast clouds
17,isangel,VU,-19.55,169.2667,82.6,69,56,7.49,broken clouds
18,bardiyah,LY,31.7561,25.0865,58.91,69,33,7.83,scattered clouds
19,waipawa,NZ,-41.4122,175.5153,67.57,66,61,10.09,broken clouds
20,lazaro cardenas,MX,17.9583,-102.2,83.71,52,0,11.45,clear sky
21,bengkulu,ID,-3.8004,102.2655,76.15,87,99,7.83,overcast clouds
22,shwebo,MM,22.5667,95.7,80.04,54,68,2.04,broken clouds
23,saskylakh,RU,71.9167,114.0833,5.29,96,100,3.8,overcast clouds
24,rikitea,PF,-23.1203,-134.9692,78.71,71,3,19.75,clear sky
25,ribeira grande,PT,38.5167,-28.7,59.7,67,8,4.16,clear sky
26,cape town,ZA,-33.9258,18.4232,65.26,92,100,6.91,fog
27,atuona,PF,-9.8,-139.0333,79.57,74,43,17.78,scattered clouds
28,puerto ayora,EC,-0.7393,-90.3518,76.96,87,100,7.58,overcast clouds
29,lompoc,US,34.6391,-120.4579,73.02,59,0,18.01,clear sky
30,saint-joseph,RE,-21.3667,55.6167,75.58,85,69,2.08,broken clouds
31,biskamzha,RU,53.4497,89.5272,30.16,97,92,1.88,light snow
32,olovyannaya,RU,50.95,115.5667,33.37,38,7,10.92,clear sky
33,santa catarina de tepehuanes,MX,25.35,-105.7333,84.63,12,43,22.68,scattered clouds
34,vestmanna,FO,62.1564,-7.1664,41.92,100,4,13.8,clear sky
35,bredasdorp,ZA,-34.5322,20.0403,63.45,68,100,3.24,overcast clouds
36,avarua,CK,-21.2078,-159.775,78.85,57,20,14.97,few clouds
