City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
9,ternate,ID,81.3,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
12,saint george,US,81.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
15,saint-philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
17,isangel,VU,82.6,broken clouds,-19.55,169.2667,Tanna Lodge
20,lazaro cardenas,MX,83.71,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
21,bengkulu,ID,76.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
22,shwebo,MM,80.04,broken clouds,22.5667,95.7,MOON SHINE Guest House
24,rikitea,PF,78.71,clear sky,-23.1203,-134.9692,People ThankYou
27,atuona,PF,79.57,scattered clouds,-9.8,-139.0333,Villa Enata
28,puerto ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,saint-joseph,RE,75.58,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
33,santa catarina de tepehuanes,MX,84.63,scattered clouds,25.35,-105.7333,hotel plaza
36,avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
42,kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,lucea,JM,82.85,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
53,tubuala,PA,80.4,scattered clouds,9.5167,-79.0333,Río Nabagana
57,abonnema,NG,79.41,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
58,hithadhoo,MV,82.54,overcast clouds,-0.6,73.0833,Scoop Guest House
62,doha,QA,76.89,clear sky,25.2867,51.5333,Movenpick Hotel Doha
63,georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
66,arraial do cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
72,hilo,US,84.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
74,kralendijk,BQ,80.58,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
76,nhamunda,BR,75.4,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
77,vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
85,acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
86,ugoofaaru,MV,84.7,broken clouds,5.6667,73.0,Ungoofaaru Inn
92,port-gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
94,tecoanapa,MX,86.54,clear sky,16.5167,-98.75,Hotel Manglares
101,faanui,PF,81.03,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
108,hambantota,LK,78.69,clear sky,6.1241,81.1185,Bungalow 63
110,winneba,GH,80.62,light rain,5.3511,-0.6231,Windy Lodge & Beach Resort
112,abu dhabi,AE,75.22,clear sky,24.4667,54.3667,Beach Rotana
116,bandarbeyla,SO,80.17,clear sky,9.4942,50.8122,JABIR HOTEL
117,muscat,OM,80.62,overcast clouds,23.6139,58.5922,Mutrah Hotel
121,makakilo city,US,80.92,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
122,axim,GH,80.1,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
124,manokwari,ID,81.43,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
126,la palma,US,76.91,scattered clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
131,karratha,AU,81.07,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
133,kavieng,PG,85.01,light rain,-2.5744,150.7967,Nusa Island Retreat
143,corsicana,US,84.74,broken clouds,32.0954,-96.4689,"Holiday Inn Express & Suites Corsicana I-45, an IHG Hotel"
151,amahai,ID,80.42,scattered clouds,-3.3333,128.9167,HOTEL ISABELA
155,alofi,NU,85.89,broken clouds,-19.0595,-169.9187,Taloa Heights
156,butaritari,KI,81.18,light rain,3.0707,172.7902,Isles Sunset Lodge
158,rio branco,BR,86.61,scattered clouds,-9.9747,-67.81,Hotel Guapindaia Bosque
162,caravelas,BR,75.07,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
165,carupano,VE,77.63,broken clouds,10.6678,-63.2585,Hotel La dorada
